,URLs,Team,Names,Position,Ages,Heights,Weights
0,https://www.unitedrugby.com/clubs/Benetton/Filippo-Alongi,Benetton,Filippo-Alongi,prop,22,6'0'', 118KG
1,https://www.unitedrugby.com/clubs/Benetton/Manuel-Arroyo,Benetton,Manuel-Arroyo,hooker,0,0'0'', KG
2,https://www.unitedrugby.com/clubs/Benetton/Lorenzo-Cannone,Benetton,Lorenzo-Cannone,lock,21,6'0'', 102KG
3,https://www.unitedrugby.com/clubs/Benetton/Niccolo-Cannone,Benetton,Niccolo-Cannone,lock,24,6'1'', 120KG
4,https://www.unitedrugby.com/clubs/Benetton/Matteo-Drudi,Benetton,Matteo-Drudi,prop,22,5'11'', 108KG
5,https://www.unitedrugby.com/clubs/Benetton/Corniel-Els,Benetton,Corniel-Els,hooker,28,6'0'', 103KG
6,https://www.unitedrugby.com/clubs/Benetton/Riccardo-Favretto,Benetton,Riccardo-Favretto,lock,21,6'1'', 105KG
7,https://www.unitedrugby.com/clubs/Benetton/Simone-Ferrari,Benetton,Simone-Ferrari,prop,28,6'0'', 119KG
8,https://www.unitedrugby.com/clubs/Benetton/Thomas-Gallo,Benetton,Thomas-Gallo,prop,23,5'1'', 107KG
9,https://www.unitedrugby.com/clubs/Benetton/Toa-Halafihi,Benetton,Toa-Halafihi,flanker,28,6'0'', 108KG
10,https://www.unitedrugby.com/clubs/Benetton/Alessandro-Izekor,Benetton,Alessandro-Izekor,flanker,22,6'5'', 100KG
11,https://www.unitedrugby.com/clubs/Benetton/Michele-Lamaro,Benetton,Michele-Lamaro,flanker,24,6'0'', 102KG
12,https://www.unitedrugby.com/clubs/Benetton/Marco-Lazzaroni,Benetton,Marco-Lazzaroni,flanker,27,6'0'', 110KG
13,https://www.unitedrugby.com/clubs/Benetton/Gianmarco-Lucchesi,Benetton,Gianmarco-Lucchesi,hooker,22,6'0'', 110KG
14,https://www.unitedrugby.com/clubs/Benetton/Ivan-Nemer,Benetton,Ivan-Nemer,prop,24,5'11'', 116KG
15,https://www.unitedrugby.com/clubs/Benetton/Giacomo-Nicotera,Benetton,Giacomo-Nicotera,hooker,26,6'0'', 102KG
16,https://www.unitedrugby.com/clubs/Benetton/Tiziano-Pasquali,Benetton,Tiziano-Pasquali,prop,28,6'0'', 111KG
17,https://www.unitedrugby.com/clubs/Benetton/Giovanni-Pettinelli,Benetton,Giovanni-Pettinelli,flanker,26,6'0'', 103KG
18,https://www.unitedrugby.com/clubs/Benetton/Nicola-Piantella,Benetton,Nicola-Piantella,lock,21,6'1'', 100KG
19,https://www.unitedrugby.com/clubs/Benetton/Federico-Ruzza,Benetton,Federico-Ruzza,lock,28,6'1'', 108KG
20,https://www.unitedrugby.com/clubs/Benetton/Scott-Scrafton,Benetton,Scott-Scrafton,lock,29,6'1'', 120KG
21,https://www.unitedrugby.com/clubs/Benetton/Braam-Steyn,Benetton,Braam-Steyn,flanker,30,6'0'', 110KG
22,https://www.unitedrugby.com/clubs/Benetton/Henry-Time-Stowers,Benetton,Henry-Time-Stowers,flanker,27,6'0'', 115KG
23,https://www.unitedrugby.com/clubs/Benetton/Cherif-Traore,Benetton,Cherif-Traore,prop,28,5'11'', 120KG
24,https://www.unitedrugby.com/clubs/Benetton/Carl-Wegner,Benetton,Carl-Wegner,lock,31,6'1'', 117KG
25,https://www.unitedrugby.com/clubs/Benetton/Federico-Zani,Benetton,Federico-Zani,prop,33,5'10'', 111KG
26,https://www.unitedrugby.com/clubs/Benetton/Manuel-Zuliani,Benetton,Manuel-Zuliani,lock,22,6'0'', 108KG
27,https://www.unitedrugby.com/clubs/Benetton/Manfredi-Albanese,Benetton,Manfredi-Albanese,scrum-half,21,5'9'', 78KG
28,https://www.unitedrugby.com/clubs/Benetton/Tomas-Albornoz,Benetton,Tomas-Albornoz,fly-half,25,5'10'', 82KG
29,https://www.unitedrugby.com/clubs/Benetton/Giuliano-Avaca,Benetton,Giuliano-Avaca,scrum-half,0,, KG
30,https://www.unitedrugby.com/clubs/Benetton/Mattia-Bellini,Benetton,Mattia-Bellini,wing,28,6'0'', 93KG
31,https://www.unitedrugby.com/clubs/Benetton/Nacho-Brex,Benetton,Nacho-Brex,centre,30,6'0'', 98KG
32,https://www.unitedrugby.com/clubs/Benetton/Joey-Caputo,Benetton,Joey-Caputo,fly-half,22,6'0'', 92KG
33,https://www.unitedrugby.com/clubs/Benetton/Filippo-Drago,Benetton,Filippo-Drago,centre,20,6'0'', 96KG
34,https://www.unitedrugby.com/clubs/Benetton/Dewaldt-Duvenage,Benetton,Dewaldt-Duvenage,scrum-half,34,5'1'', 80KG
35,https://www.unitedrugby.com/clubs/Benetton/Alessandro-Garbisi,Benetton,Alessandro-Garbisi,scrum-half,20,5'1'', 83KG
36,https://www.unitedrugby.com/clubs/Benetton/Sam-Hidalgo-Clyne,Benetton,Sam-Hidalgo-Clyne,scrum-half,29,5'1'', 78KG
37,https://www.unitedrugby.com/clubs/Benetton/Leonardo-Marin,Benetton,Leonardo-Marin,fly-half,20,6'0'', 88KG
38,https://www.unitedrugby.com/clubs/Benetton/Ignacio-Mendy,Benetton,Ignacio-Mendy,fullback,22,6'0'', 81KG
39,https://www.unitedrugby.com/clubs/Benetton/Tommaso-Menoncello,Benetton,Tommaso-Menoncello,wing,20,6'0'', 90KG
40,https://www.unitedrugby.com/clubs/Benetton/Edoardo-Padovani,Benetton,Edoardo-Padovani,fullback,29,6'0'', 95KG
41,https://www.unitedrugby.com/clubs/Benetton/Dewi-Passarella,Benetton,Dewi-Passarella,centre,19,6'4'', 102KG
42,https://www.unitedrugby.com/clubs/Benetton/Onisi-Ratave,Benetton,Onisi-Ratave,wing,30,5'10'', 100KG
43,https://www.unitedrugby.com/clubs/Benetton/Joaquin-Riera,Benetton,Joaquin-Riera,centre,28,6'0'', 90KG
44,https://www.unitedrugby.com/clubs/Benetton/Rhyno-Smith,Benetton,Rhyno-Smith,fullback,29,5'1'', 83KG
45,https://www.unitedrugby.com/clubs/Benetton/Marcus-Watson,Benetton,Marcus-Watson,wing,31,5'10'', 88KG
